product_id,옵션명,옵션영어명,나이,가격
TC18669194,핫 미네랄 허브(10인용 대형욕조) 15인이상 예약시 인당요금,Hot Minerral with Herb group over 15pax( big tub 4- 10pax),성인,"14,260 원"
TC18669194,핫 미네랄 허브(10인용 대형욕조) 1~14인 예약시 인당요금,Hot Minerral with Herb group under 15pax( big tub 4- 10pax),성인,"14,970 원"
TC18669194,핫 미네랄 허브(3인용 소형욕조) 15인이상 예약시 인당요금,Hot Minerral with Herb group over 15pax( small tub 1- 3pax),성인,"15,739 원"
TC18669194,핫 미네랄 머드 배스(10인용 대형욕조) 15인이상 예약시 인당요금,Hot Mineral Mud Bath - group over 15 pax ( big tub 4 -10 pax),성인,"16,153 원"
TC18669194,핫 미네랄 허브(3인용 소형 욕조) 1~14인 예약시 인당요금,Hot Minerral with Herb group under 15pax( small tub 1- 3pax),성인,"16,568 원"
TC18669194,핫 미네랄 머드 배스(3인용 소형욕조) 15인이상 예약시 인당요금,Hot Mineral Mud Bath - group over 15 pax ( small tub 1-3 pax),성인,"18,224 원"
TC18669194,핫 미네랄 머드 배스(10인용 대형욕조) 1~14인 예약시 인당요금,Hot Meniral Mud Bath - group under 15 pax ( big tub  4-10 pax),성인,"20,295 원"
TC18669194,핫 미네랄 머드 배스(3인용 소형욕조) 1~14인 예약시 인당요금,Hot Mineral Mud Bath - group under 15 pax ( small tub 1-3 pax),성인,"22,958 원"
TC18669194,VIP (머드 배스 + 미네랄 허브 배스 + 온수 수영장) - 성인 1인 예약시 인당요금,VIP 1 Adult - Swimming pool,성인,"227,982 원"
TC18669194,VIP (머드 배스 + 미네랄 허브 배스 + 온수 수영장) - 성인 2인 예약시 인당요금,VIP 2 Adult - Swimming Pool,성인,"241,295 원"
TC18669194,VIP 카이 리버뷰 룸 (머드 배스 + 미네랄 허브 배스 + 온수 수영장) - 성인 1인 예약시 인당요금,VIP 1 Adult - Cai River,성인,"248,100 원"
TC18669194,VIP 카이 리버뷰 룸 (머드 배스 + 미네랄 허브 배스 + 온수 수영장) - 성인 2인 예약시 인당요금,VIP 2 Adult - Cai River,성인,"262,596 원"
